sep=;
"Location";"Date";"AQI";"NO2 (ppb)";"CO (ppm)";"VOCs (ppb)";"PM2.5 (µg/m³)"
"Camp William B Synder";"Sep 17, 2026, 10:00:00";"34";"5.93";"0.25";"0";"6.95"
"Camp William B Synder";"Sep 17, 2026, 09:00:00";"31";"9.71";"0.28";"2.49";"5.84"
"Camp William B Synder";"Sep 17, 2026, 08:00:00";"30";"7.93";"0.18";"27.75";"5.35"
"Camp William B Synder";"Sep 17, 2026, 07:00:00";"30";"5.85";"0.14";"22.38";"6.01"
"Camp William B Synder";"Sep 17, 2026, 06:00:00";"28";"6.29";"0.15";"16.51";"5.87"
"Camp William B Synder";"Sep 17, 2026, 05:00:00";"25";"7.47";"0.14";"1.06";"4.82"
"Camp William B Synder";"Sep 17, 2026, 04:00:00";"25";"7.64";"0.14";"0";"4.57"
"Camp William B Synder";"Sep 17, 2026, 03:00:00";"25";"6.79";"0.14";"0";"4.66"
"Camp William B Synder";"Sep 17, 2026, 02:00:00";"24";"7.86";"0.15";"0";"4.38"
"Camp William B Synder";"Sep 17, 2026, 01:00:00";"24";"9.86";"0.16";"0";"4.32"
