sep=;
"Location";"Date";"AQI";"NO2 (ppb)";"CO (ppm)";"VOCs (ppb)";"PM2.5 (µg/m³)"
"VDOT MKC";"Sep 17, 2026, 10:00:00";"28";"12.17";"0.69";"355.15";"5.43"
"VDOT MKC";"Sep 17, 2026, 09:00:00";"26";"13";"0.27";"182.41";"4.81"
"VDOT MKC";"Sep 17, 2026, 08:00:00";"25";"11.23";"0.25";"207.74";"5.07"
"VDOT MKC";"Sep 17, 2026, 07:00:00";"24";"11.84";"0.29";"175.84";"4.88"
"VDOT MKC";"Sep 17, 2026, 06:00:00";"24";"13.43";"0.2";"154.73";"4.61"
"VDOT MKC";"Sep 17, 2026, 05:00:00";"23";"9.82";"0.16";"145.4";"4.17"
"VDOT MKC";"Sep 17, 2026, 04:00:00";"23";"8.33";"0.16";"141.47";"4.05"
"VDOT MKC";"Sep 17, 2026, 03:00:00";"23";"15.28";"0.18";"135.02";"4.37"
"VDOT MKC";"Sep 17, 2026, 02:00:00";"23";"16.15";"0.19";"112.02";"4.24"
"VDOT MKC";"Sep 17, 2026, 01:00:00";"23";"10.55";"0.19";"102.34";"3.93"
"VDOT MKC";"Sep 17, 2026, 00:00:00";"23";"16.22";"0.22";"96.4";"3.99"
"VDOT MKC";"Sep 16, 2026, 23:00:00";"23";"12.39";"0.2";"91.18";"3.75"
"VDOT MKC";"Sep 16, 2026, 22:00:00";"24";"14.66";"0.22";"83.36";"4.02"
