ancestry_group,gwas_participant_pct,as_of,denominator_note,source,source_url
European,86.5,2023,"GWAS Catalog participants, 2023 snapshot",GWAS Diversity Monitor / Cell Genomics 2024 diversity-gap review,https://pmc.ncbi.nlm.nih.gov/articles/PMC11770215/
African,0.47,2023,"GWAS Catalog participants; excludes African American / Afro-Caribbean",GWAS Diversity Monitor / Cell Genomics 2024 diversity-gap review,https://pmc.ncbi.nlm.nih.gov/articles/PMC11770215/
European,94.48,2024-09,"GWAS Diversity Monitor live dashboard, September 2024",GWAS Diversity Monitor (Mills & Rahal, Nat Genet 2020),https://gwasdiversitymonitor.com/
Asian,3.96,2024-09,"GWAS Diversity Monitor live dashboard, September 2024",GWAS Diversity Monitor (Mills & Rahal, Nat Genet 2020),https://gwasdiversitymonitor.com/
