report_date,data_cutoff,export_date,site,deq_published_mean,genarch_mean_zeros_excluded,delta_mean_zeros_excluded,valid_days_zeros_excluded,genarch_mean_zeros_retained,delta_mean_zeros_retained,valid_days_zeros_retained,mean_shift_from_retaining,deq_published_p98,genarch_p98_zeros_excluded,delta_p98_zeros_excluded,genarch_p98_zeros_retained,delta_p98_zeros_retained,p98_shift_from_retaining,pipeline_default,changed_in_this_task
2026-08-28,2026-08-28,2026-08-28,Broad Run HS,8.3,8.327,0.027,173,8.267,-0.033,173,-0.06,24.8,25.189,0.389,25.189,0.389,0.0,zeros excluded (exact_zero_floor),no
2026-08-28,2026-08-28,2026-08-28,Belfort Park Dr,9.3,9.344,0.044,105,9.208,-0.092,106,-0.136,25.9,26.383,0.483,26.376,0.476,-0.007,zeros excluded (exact_zero_floor),no
2026-08-28,2026-08-28,2026-08-28,Dulles Airport,5.8,5.855,0.055,170,5.635,-0.165,173,-0.22,17.8,19.872,2.072,19.732,1.932,-0.14,zeros excluded (exact_zero_floor),no
2026-08-28,2026-08-28,2026-08-28,Farmwell Station MS,8.2,8.231,0.031,141,8.145,-0.055,143,-0.086,24.6,26.696,2.096,26.648,2.048,-0.048,zeros excluded (exact_zero_floor),no
2026-08-28,2026-08-28,2026-08-28,1757 Golf Club,7.6,7.599,-0.001,142,7.533,-0.067,143,-0.065,23.4,24.579,1.179,24.564,1.164,-0.015,zeros excluded (exact_zero_floor),no
2026-08-28,2026-08-28,2026-08-28,Sterling MS,10.5,10.53,0.03,72,10.438,-0.062,72,-0.092,33.8,32.642,-1.158,32.642,-1.158,0.0,zeros excluded (exact_zero_floor),no
