report_date,data_cutoff,export_date,site,common_window_start,common_window_end,common_window_p98,common_window_valid_days,common_window_rank,full_record_start,full_record_end,full_record_p98,full_record_valid_days,deq_published_p98,full_record_minus_published,percentile_method,window_caution,full_record_p98_method_spread
2026-08-28,2026-08-28,2026-08-28,Farmwell Station MS,2026-06-18,2026-08-28,37.55,71,1,2026-04-08,2026-08-28,26.7,141,24.6,2.1,numpy linear interpolation on valid daily means,"The common window is entirely high summer and contains the 2026-07-16 to 2026-07-19 wildfire period. It removes the unequal-length confound and leaves the unequal-seasonality confound in place, so it is not a clean control and is not a correction for record length.",1.19
2026-08-28,2026-08-28,2026-08-28,1757 Golf Club,2026-06-18,2026-08-28,34.15,71,2,2026-04-08,2026-08-28,24.58,142,23.4,1.18,numpy linear interpolation on valid daily means,"The common window is entirely high summer and contains the 2026-07-16 to 2026-07-19 wildfire period. It removes the unequal-length confound and leaves the unequal-seasonality confound in place, so it is not a clean control and is not a correction for record length.",0.76
2026-08-28,2026-08-28,2026-08-28,Belfort Park Dr,2026-06-18,2026-08-28,34.02,71,3,2026-05-15,2026-08-28,26.38,105,25.9,0.48,numpy linear interpolation on valid daily means,"The common window is entirely high summer and contains the 2026-07-16 to 2026-07-19 wildfire period. It removes the unequal-length confound and leaves the unequal-seasonality confound in place, so it is not a clean control and is not a correction for record length.",0.35
2026-08-28,2026-08-28,2026-08-28,Sterling MS,2026-06-18,2026-08-28,32.64,72,4,2026-06-18,2026-08-28,32.64,72,33.8,-1.16,numpy linear interpolation on valid daily means,"The common window is entirely high summer and contains the 2026-07-16 to 2026-07-19 wildfire period. It removes the unequal-length confound and leaves the unequal-seasonality confound in place, so it is not a clean control and is not a correction for record length.",13.27
2026-08-28,2026-08-28,2026-08-28,Broad Run HS,2026-06-18,2026-08-28,32.48,72,5,2026-03-09,2026-08-28,25.19,173,24.8,0.39,numpy linear interpolation on valid daily means,"The common window is entirely high summer and contains the 2026-07-16 to 2026-07-19 wildfire period. It removes the unequal-length confound and leaves the unequal-seasonality confound in place, so it is not a clean control and is not a correction for record length.",1.56
2026-08-28,2026-08-28,2026-08-28,Dulles Airport,2026-06-18,2026-08-28,25.57,71,6,2026-03-09,2026-08-28,19.87,170,17.8,2.07,numpy linear interpolation on valid daily means,"The common window is entirely high summer and contains the 2026-07-16 to 2026-07-19 wildfire period. It removes the unequal-length confound and leaves the unequal-seasonality confound in place, so it is not a clean control and is not a correction for record length.",2.33
