report_date,data_cutoff,export_date,site,valid_days,p98_rank,p98_rank_of_n,ranks_from_top,lower_bracket_rank,lower_bracket_value,lower_bracket_day,upper_bracket_rank,upper_bracket_value,upper_bracket_day,bracket_gap,p98_linear,deq_published_p98,delta_vs_deq,method_min,method_max,method_spread,interpolation_methods_tested,day_binning,note
2026-08-28,2026-08-27,2026-08-28,Sterling MS,71,69.6,69.6 of 71,2.4,69,24.95,2026-07-19,70,38.21,2026-07-18,13.27,32.908,33.8,-0.892,24.95,38.21,13.27,linear|lower|higher|nearest|midpoint,hour-beginning local standard time (regulatory convention),"The 98th percentile is a different order statistic at different record lengths. Under linear interpolation the index is (n-1)*0.98, so a short record reads its p98 from near the maximum and a long record reads it from further inside the upper tail. bracket_gap is the distance between the two daily values the statistic is interpolated between; where that gap is wide, a small difference in n or in quantile convention moves the statistic a long way without any change in the underlying measurements."
2026-08-28,2026-08-27,2026-08-28,Belfort Park Dr,104,101.94,101.9 of 104,3.06,101,26.06,2026-07-16,102,26.41,2026-07-19,0.35,26.39,25.9,0.49,26.06,26.41,0.35,linear|lower|higher|nearest|midpoint,hour-beginning local standard time (regulatory convention),"The 98th percentile is a different order statistic at different record lengths. Under linear interpolation the index is (n-1)*0.98, so a short record reads its p98 from near the maximum and a long record reads it from further inside the upper tail. bracket_gap is the distance between the two daily values the statistic is interpolated between; where that gap is wide, a small difference in n or in quantile convention moves the statistic a long way without any change in the underlying measurements."
2026-08-28,2026-08-27,2026-08-28,Farmwell Station MS,140,137.22,137.2 of 140,3.78,137,26.46,2026-07-16,138,27.65,2026-07-19,1.19,26.72,24.6,2.12,26.46,27.65,1.19,linear|lower|higher|nearest|midpoint,hour-beginning local standard time (regulatory convention),"The 98th percentile is a different order statistic at different record lengths. Under linear interpolation the index is (n-1)*0.98, so a short record reads its p98 from near the maximum and a long record reads it from further inside the upper tail. bracket_gap is the distance between the two daily values the statistic is interpolated between; where that gap is wide, a small difference in n or in quantile convention moves the statistic a long way without any change in the underlying measurements."
2026-08-28,2026-08-27,2026-08-28,1757 Golf Club,141,138.2,138.2 of 141,3.8,138,24.44,2026-07-19,139,25.2,2026-07-16,0.76,24.594,23.4,1.194,24.44,25.2,0.76,linear|lower|higher|nearest|midpoint,hour-beginning local standard time (regulatory convention),"The 98th percentile is a different order statistic at different record lengths. Under linear interpolation the index is (n-1)*0.98, so a short record reads its p98 from near the maximum and a long record reads it from further inside the upper tail. bracket_gap is the distance between the two daily values the statistic is interpolated between; where that gap is wide, a small difference in n or in quantile convention moves the statistic a long way without any change in the underlying measurements."
2026-08-28,2026-08-27,2026-08-28,Dulles Airport,169,165.64,165.6 of 169,4.36,165,18.43,2026-07-20,166,20.76,2026-07-16,2.33,19.918,17.8,2.118,18.43,20.76,2.33,linear|lower|higher|nearest|midpoint,hour-beginning local standard time (regulatory convention),"The 98th percentile is a different order statistic at different record lengths. Under linear interpolation the index is (n-1)*0.98, so a short record reads its p98 from near the maximum and a long record reads it from further inside the upper tail. bracket_gap is the distance between the two daily values the statistic is interpolated between; where that gap is wide, a small difference in n or in quantile convention moves the statistic a long way without any change in the underlying measurements."
2026-08-28,2026-08-27,2026-08-28,Broad Run HS,172,168.58,168.6 of 172,4.42,168,24.31,2026-07-16,169,25.88,2026-07-19,1.56,25.22,24.8,0.42,24.31,25.88,1.56,linear|lower|higher|nearest|midpoint,hour-beginning local standard time (regulatory convention),"The 98th percentile is a different order statistic at different record lengths. Under linear interpolation the index is (n-1)*0.98, so a short record reads its p98 from near the maximum and a long record reads it from further inside the upper tail. bracket_gap is the distance between the two daily values the statistic is interpolated between; where that gap is wide, a small difference in n or in quantile convention moves the statistic a long way without any change in the underlying measurements."
