report_date,data_cutoff_sensor,data_cutoff_regulatory,export_date,effective_cutoff,site,pollutant,sensor,window_start,window_end,window_status,n_pairs,genarch_intercept,genarch_slope,genarch_r2,deq_intercept,deq_slope,deq_r2,intercept_rounds_to_deq,slope_rounds_to_deq,r2_rounds_to_deq,comparable_to_report,notes
2026-08-28,2026-08-28,2026-08-10,"sensor side 2026-08-28; regulatory side n/a, FOIA 26-4646 regulatory release",2026-08-10,Broad Run HS,NO2,APEX 14,2026-03-03,2026-04-08,closed,591,2.1957,1.0652,0.4908,2.2,1.1,0.49,yes,yes,yes,yes,"Closed window 2026-03-03 to 2026-04-08. DEQ's published value is fixed and cannot drift, so this is a like-for-like comparison. Intercept and slope reproduce; the R2 sits near a rounding boundary and is not robust to leave-one-out resampling."
2026-08-28,2026-08-28,2026-08-10,"sensor side 2026-08-28; regulatory side n/a, FOIA 26-4646 regulatory release",2026-08-10,Broad Run HS,NO2,APEX 5,2026-04-08,2026-08-10,open,2313,1.6614,0.3397,0.199,1.7,0.31,0.21,yes,no,no,no,"capped at 2026-08-10, not comparable to the 2026-08-28 report. The regulatory monitor ends 2026-08-10 under FOIA 26-4646 while DEQ's published figure uses data through 2026-08-27, so the two cover different windows."
2026-08-28,2026-08-28,2026-08-10,"sensor side 2026-08-28; regulatory side n/a, FOIA 26-4646 regulatory release",2026-08-10,Broad Run HS,PM2.5,APEX 14,2026-03-03,2026-04-08,closed,699,1.2933,0.8317,0.7255,1.3,0.83,0.73,yes,yes,yes,yes,"Closed window 2026-03-03 to 2026-04-08. DEQ's published value is fixed and cannot drift, so this is a like-for-like comparison."
2026-08-28,2026-08-28,2026-08-10,"sensor side 2026-08-28; regulatory side n/a, FOIA 26-4646 regulatory release",2026-08-10,Broad Run HS,PM2.5,APEX 5,2026-04-08,2026-08-10,open,2183,-4.7002,1.6565,0.8345,-5,1.6,0.82,yes,no,no,no,"capped at 2026-08-10, not comparable to the 2026-08-28 report. The regulatory monitor ends 2026-08-10 under FOIA 26-4646 while DEQ's published figure uses data through 2026-08-27, so the two cover different windows."
