sep=;
"Location";"Date";"AQI";"NO2 (ppb)";"CO (ppm)";"VOCs (ppb)";"PM2.5 (µg/m³)"
"Heritage Farm Museum";"May 21, 2026, 22:00:00";"25";"4.61";"0.1";"49.75";"7.96"
"Heritage Farm Museum";"May 21, 2026, 21:00:00";"25";"4.73";"0.1";"51.09";"4.87"
"Heritage Farm Museum";"May 21, 2026, 20:00:00";"26";"4.8";"0.1";"51.41";"3.88"
"Heritage Farm Museum";"May 21, 2026, 19:00:00";"27";"4.42";"0.11";"53.78";"3.38"
"Heritage Farm Museum";"May 21, 2026, 18:00:00";"28";"3.56";"0.11";"52.84";"2.08"
"Heritage Farm Museum";"May 21, 2026, 17:00:00";"29";"2.73";"0.12";"52.46";"1.08"
"Heritage Farm Museum";"May 21, 2026, 16:00:00";"30";"2.35";"0.1";"49.07";"0.98"
"Heritage Farm Museum";"May 21, 2026, 15:00:00";"30";"1.31";"0.15";"61.46";"1.31"
"Heritage Farm Museum";"May 21, 2026, 14:00:00";"31";"0.55";"0.15";"64.72";"1.49"
"Heritage Farm Museum";"May 21, 2026, 13:00:00";"32";"0.61";"0.16";"71.9";"1.67"
"Heritage Farm Museum";"May 21, 2026, 12:00:00";"32";"0.4";"0.16";"74.18";"2.36"
"Heritage Farm Museum";"May 21, 2026, 11:00:00";"33";"0.02";"0.18";"82.71";"2.72"
"Heritage Farm Museum";"May 21, 2026, 10:00:00";"34";"0.01";"0.19";"92.35";"3.32"
"Heritage Farm Museum";"May 21, 2026, 09:00:00";"34";"0.01";"0.2";"100.2";"3.51"
"Heritage Farm Museum";"May 21, 2026, 08:00:00";"34";"0.15";"0.19";"101.36";"4.74"
"Heritage Farm Museum";"May 21, 2026, 07:00:00";"34";"0";"0.18";"105.25";"6.05"
"Heritage Farm Museum";"May 21, 2026, 06:00:00";"35";"0";"0.18";"106.34";"7.01"
"Heritage Farm Museum";"May 21, 2026, 05:00:00";"34";"0.02";"0.2";"121.11";"14.83"
"Heritage Farm Museum";"May 21, 2026, 04:00:00";"33";"0";"0.22";"125.95";"12.46"
"Heritage Farm Museum";"May 21, 2026, 03:00:00";"31";"0.03";"0.23";"119.52";"13.74"
"Heritage Farm Museum";"May 21, 2026, 02:00:00";"30";"0.4";"0.22";"117.75";"15.03"
"Heritage Farm Museum";"May 21, 2026, 01:00:00";"28";"2.68";"0.24";"115.69";"8.89"
"Heritage Farm Museum";"May 21, 2026, 00:00:00";"27";"1.55";"0.24";"111.28";"11.43"
"Heritage Farm Museum";"May 20, 2026, 23:00:00";"25";"2.21";"0.24";"98.95";"8.7"
"Heritage Farm Museum";"May 20, 2026, 22:00:00";"24";"3.27";"0.24";"93.94";"7.82"
"Heritage Farm Museum";"May 20, 2026, 21:00:00";"24";"4.36";"0.26";"92.38";"9.36"
"Heritage Farm Museum";"May 20, 2026, 20:00:00";"22";"2.36";"0.29";"114.19";"8.39"
"Heritage Farm Museum";"May 20, 2026, 19:00:00";"21";"3.38";"0.3";"100.25";"8.94"
"Heritage Farm Museum";"May 20, 2026, 18:00:00";"20";"3.86";"0.3";"83.03";"7.85"
"Heritage Farm Museum";"May 20, 2026, 17:00:00";"20";"4.21";"0.29";"55.97";"4.93"
"Heritage Farm Museum";"May 20, 2026, 16:00:00";"20";"0";"0.3";"40.79";"5.71"
"Heritage Farm Museum";"May 20, 2026, 15:00:00";"19";"0";"0.31";"48.12";"5.46"
"Heritage Farm Museum";"May 20, 2026, 14:00:00";"19";"0";"0.27";"51.78";"5.86"
"Heritage Farm Museum";"May 20, 2026, 13:00:00";"19";"0";"0.27";"60.24";"5.13"
"Heritage Farm Museum";"May 20, 2026, 12:00:00";"19";"0";"0.27";"76.27";"6.02"
"Heritage Farm Museum";"May 20, 2026, 11:00:00";"19";"0";"0.27";"81.29";"5.84"
"Heritage Farm Museum";"May 20, 2026, 10:00:00";"19";"1.41";"0.32";"94.25";"5.82"
"Heritage Farm Museum";"May 20, 2026, 09:00:00";"19";"9.17";"0.39";"118.55";"5.23"
"Heritage Farm Museum";"May 20, 2026, 08:00:00";"20";"6.56";"0.3";"118.31";"4.99"
"Heritage Farm Museum";"May 20, 2026, 07:00:00";"20";"1.94";"0.22";"99.77";"7.27"
"Heritage Farm Museum";"May 20, 2026, 06:00:00";"20";"1.79";"0.22";"98.2";"6.09"
"Heritage Farm Museum";"May 20, 2026, 05:00:00";"20";"4.19";"0.25";"98.57";"5.3"
"Heritage Farm Museum";"May 20, 2026, 04:00:00";"20";"6.19";"0.28";"94.22";"4.3"
"Heritage Farm Museum";"May 20, 2026, 03:00:00";"21";"7.62";"0.3";"94.96";"3.49"
"Heritage Farm Museum";"May 20, 2026, 02:00:00";"21";"0.33";"0.24";"74.13";"3.38"
"Heritage Farm Museum";"May 20, 2026, 01:00:00";"22";"10.02";"0.32";"76.36";"3.41"
"Heritage Farm Museum";"May 20, 2026, 00:00:00";"23";"22.33";"0.41";"72.45";"3.53"
"Heritage Farm Museum";"May 19, 2026, 23:00:00";"24";"0.81";"0.38";"60.12";"3.72"
"Heritage Farm Museum";"May 19, 2026, 22:00:00";"24";"0";"0.35";"50.04";"2.98"
"Heritage Farm Museum";"May 19, 2026, 21:00:00";"25";"0";"0.34";"47.29";"2.9"
"Heritage Farm Museum";"May 19, 2026, 20:00:00";"26";"0";"0.35";"43.45";"2.38"
"Heritage Farm Museum";"May 19, 2026, 19:00:00";"27";"0.13";"0.32";"32.25";"2.97"
"Heritage Farm Museum";"May 19, 2026, 18:00:00";"28";"0";"0.31";"31.68";"4.25"
"Heritage Farm Museum";"May 19, 2026, 17:00:00";"28";"0";"0.33";"33.32";"4.3"
"Heritage Farm Museum";"May 19, 2026, 16:00:00";"29";"0";"0.33";"37.24";"4.51"
"Heritage Farm Museum";"May 19, 2026, 15:00:00";"29";"0";"0.33";"39.89";"4.49"
"Heritage Farm Museum";"May 19, 2026, 14:00:00";"29";"0";"0.31";"45.71";"4.84"
"Heritage Farm Museum";"May 19, 2026, 13:00:00";"29";"0";"0.3";"45.85";"4.8"
"Heritage Farm Museum";"May 19, 2026, 12:00:00";"30";"0";"0.28";"51.74";"5.31"
"Heritage Farm Museum";"May 19, 2026, 11:00:00";"30";"0";"0.28";"56.05";"6.06"
"Heritage Farm Museum";"May 19, 2026, 10:00:00";"31";"0.27";"0.34";"63.75";"7.23"
"Heritage Farm Museum";"May 19, 2026, 09:00:00";"31";"2.9";"0.37";"63.66";"7.47"
"Heritage Farm Museum";"May 19, 2026, 08:00:00";"30";"2.2";"0.32";"59.92";"6.57"
"Heritage Farm Museum";"May 19, 2026, 07:00:00";"30";"0.1";"0.28";"56.11";"6.59"
"Heritage Farm Museum";"May 19, 2026, 06:00:00";"31";"0";"0.28";"53.72";"6.92"
"Heritage Farm Museum";"May 19, 2026, 05:00:00";"31";"0";"0.27";"52.15";"7.01"
"Heritage Farm Museum";"May 19, 2026, 04:00:00";"32";"0";"0.27";"52.99";"7.4"
"Heritage Farm Museum";"May 19, 2026, 03:00:00";"31";"0";"0.28";"52.75";"7.39"
"Heritage Farm Museum";"May 19, 2026, 02:00:00";"31";"0";"0.3";"51.37";"8.12"
"Heritage Farm Museum";"May 19, 2026, 01:00:00";"31";"0";"0.31";"51.29";"7.99"
"Heritage Farm Museum";"May 19, 2026, 00:00:00";"30";"0";"0.32";"50.35";"7.6"
"Heritage Farm Museum";"May 18, 2026, 23:00:00";"29";"0";"0.35";"52.78";"7.54"
"Heritage Farm Museum";"May 18, 2026, 22:00:00";"29";"0";"0.4";"60.56";"7.92"
"Heritage Farm Museum";"May 18, 2026, 21:00:00";"28";"0";"0.4";"55.96";"8.09"
"Heritage Farm Museum";"May 18, 2026, 20:00:00";"27";"0";"0.4";"48.11";"7.5"
"Heritage Farm Museum";"May 18, 2026, 19:00:00";"27";"0";"0.39";"48.95";"7.04"
"Heritage Farm Museum";"May 18, 2026, 18:00:00";"26";"0";"0.42";"55.21";"7.01"
"Heritage Farm Museum";"May 18, 2026, 17:00:00";"25";"0.02";"0.45";"59.36";"6.12"
"Heritage Farm Museum";"May 18, 2026, 16:00:00";"25";"0";"0.42";"57.89";"6.85"
"Heritage Farm Museum";"May 18, 2026, 15:00:00";"24";"0";"0.34";"53.35";"6.3"
"Heritage Farm Museum";"May 18, 2026, 14:00:00";"23";"0";"0.34";"62.6";"5.44"
"Heritage Farm Museum";"May 18, 2026, 13:00:00";"23";"0";"0.34";"72.83";"7.11"
"Heritage Farm Museum";"May 18, 2026, 12:00:00";"22";"0.07";"0.34";"82.54";"8.01"
"Heritage Farm Museum";"May 18, 2026, 11:00:00";"22";"2.94";"0.4";"100.99";"7.81"
"Heritage Farm Museum";"May 18, 2026, 10:00:00";"21";"5.68";"0.42";"111.99";"7.4"
"Heritage Farm Museum";"May 18, 2026, 09:00:00";"20";"8.03";"0.42";"124.2";"5.85"
"Heritage Farm Museum";"May 18, 2026, 08:00:00";"20";"0.17";"0.3";"102.21";"6.41"
"Heritage Farm Museum";"May 18, 2026, 07:00:00";"20";"0";"0.23";"90.56";"10.29"
"Heritage Farm Museum";"May 18, 2026, 06:00:00";"19";"0";"0.23";"89.57";"9.95"
"Heritage Farm Museum";"May 18, 2026, 05:00:00";"19";"0";"0.23";"91.72";"8.18"
"Heritage Farm Museum";"May 18, 2026, 04:00:00";"19";"0";"0.24";"90.2";"6.22"
"Heritage Farm Museum";"May 18, 2026, 03:00:00";"18";"0.15";"0.25";"90.63";"5.05"
"Heritage Farm Museum";"May 18, 2026, 02:00:00";"18";"0.06";"0.28";"81.75";"5.21"
"Heritage Farm Museum";"May 18, 2026, 01:00:00";"18";"0";"0.31";"75.1";"4.36"
"Heritage Farm Museum";"May 18, 2026, 00:00:00";"18";"0";"0.34";"71.84";"4.17"
"Heritage Farm Museum";"May 17, 2026, 23:00:00";"17";"0.02";"0.37";"68.24";"4.23"
"Heritage Farm Museum";"May 17, 2026, 22:00:00";"17";"0.11";"0.37";"61.4";"4.35"
"Heritage Farm Museum";"May 17, 2026, 21:00:00";"17";"0";"0.33";"53.65";"3.47"
"Heritage Farm Museum";"May 17, 2026, 20:00:00";"17";"0";"0.31";"46.59";"3.34"
"Heritage Farm Museum";"May 17, 2026, 19:00:00";"17";"0";"0.29";"42.02";"3.2"
"Heritage Farm Museum";"May 17, 2026, 18:00:00";"16";"0";"0.28";"44.87";"2.86"
"Heritage Farm Museum";"May 17, 2026, 17:00:00";"16";"0";"0.26";"47.1";"2.75"
"Heritage Farm Museum";"May 17, 2026, 16:00:00";"16";"0";"0.25";"53.15";"2.5"
"Heritage Farm Museum";"May 17, 2026, 15:00:00";"16";"0";"0.25";"61.15";"2.42"
"Heritage Farm Museum";"May 17, 2026, 14:00:00";"16";"0";"0.27";"69.63";"2.98"
"Heritage Farm Museum";"May 17, 2026, 13:00:00";"16";"0";"0.3";"78.87";"3.89"
"Heritage Farm Museum";"May 17, 2026, 12:00:00";"15";"0.06";"0.35";"83.08";"4.55"
"Heritage Farm Museum";"May 17, 2026, 11:00:00";"15";"3.33";"0.39";"93.79";"4.54"
"Heritage Farm Museum";"May 17, 2026, 10:00:00";"15";"0";"0.34";"105.08";"4.04"
"Heritage Farm Museum";"May 17, 2026, 09:00:00";"14";"3.21";"0.35";"102.94";"3.97"
"Heritage Farm Museum";"May 17, 2026, 08:00:00";"14";"1.39";"0.29";"78.93";"5.11"
"Heritage Farm Museum";"May 17, 2026, 07:00:00";"14";"0";"0.24";"64.29";"7.72"
"Heritage Farm Museum";"May 17, 2026, 06:00:00";"14";"0";"0.22";"69.47";"7.37"
"Heritage Farm Museum";"May 17, 2026, 05:00:00";"13";"0";"0.22";"71.65";"5.97"
"Heritage Farm Museum";"May 17, 2026, 04:00:00";"13";"0.22";"0.23";"74.05";"5.11"
"Heritage Farm Museum";"May 17, 2026, 03:00:00";"13";"0";"0.24";"75.21";"4.25"
"Heritage Farm Museum";"May 17, 2026, 02:00:00";"13";"0.98";"0.26";"75.52";"3.12"
"Heritage Farm Museum";"May 17, 2026, 01:00:00";"12";"0.61";"0.3";"78";"2.96"
"Heritage Farm Museum";"May 17, 2026, 00:00:00";"12";"0.35";"0.28";"66.96";"2.92"
"Heritage Farm Museum";"May 16, 2026, 23:00:00";"12";"0.07";"0.28";"63.14";"2.56"
"Heritage Farm Museum";"May 16, 2026, 22:00:00";"12";"0.14";"0.31";"59.66";"2.38"
"Heritage Farm Museum";"May 16, 2026, 21:00:00";"12";"0";"0.31";"53.39";"2.5"
"Heritage Farm Museum";"May 16, 2026, 20:00:00";"12";"0.82";"0.31";"43.81";"2.66"
"Heritage Farm Museum";"May 16, 2026, 19:00:00";"11";"1.11";"0.29";"37.44";"2.02"
"Heritage Farm Museum";"May 16, 2026, 18:00:00";"11";"0";"0.28";"29.31";"3.34"
"Heritage Farm Museum";"May 16, 2026, 17:00:00";"11";"0";"0.27";"28.85";"2.89"
"Heritage Farm Museum";"May 16, 2026, 16:00:00";"10";"0";"0.25";"29.6";"1.93"
"Heritage Farm Museum";"May 16, 2026, 15:00:00";"10";"0";"0.22";"29.26";"1.25"
"Heritage Farm Museum";"May 16, 2026, 14:00:00";"10";"0";"0.22";"30.54";"1.35"
"Heritage Farm Museum";"May 16, 2026, 13:00:00";"10";"0";"0.25";"37.03";"1.84"
"Heritage Farm Museum";"May 16, 2026, 12:00:00";"10";"0.02";"0.26";"44.12";"2.06"
"Heritage Farm Museum";"May 16, 2026, 11:00:00";"10";"0.35";"0.24";"48.12";"2.03"
"Heritage Farm Museum";"May 16, 2026, 10:00:00";"10";"1.62";"0.26";"49.64";"2.32"
"Heritage Farm Museum";"May 16, 2026, 09:00:00";"10";"4.38";"0.24";"46.6";"2.41"
"Heritage Farm Museum";"May 16, 2026, 08:00:00";"10";"3.09";"0.21";"32.53";"2.93"
"Heritage Farm Museum";"May 16, 2026, 07:00:00";"10";"1.94";"0.22";"34.45";"6.94"
"Heritage Farm Museum";"May 16, 2026, 06:00:00";"9";"0.31";"0.13";"33.25";"5.93"
"Heritage Farm Museum";"May 16, 2026, 05:00:00";"8";"0.79";"0.17";"34.88";"4.52"
"Heritage Farm Museum";"May 16, 2026, 04:00:00";"8";"2.87";"0.25";"36.99";"3.96"
"Heritage Farm Museum";"May 16, 2026, 03:00:00";"7";"2.83";"0.19";"34.14";"3.06"
"Heritage Farm Museum";"May 16, 2026, 02:00:00";"7";"3.54";"0.2";"34.36";"1.93"
"Heritage Farm Museum";"May 16, 2026, 01:00:00";"7";"3.18";"0.22";"33.68";"2.13"
"Heritage Farm Museum";"May 16, 2026, 00:00:00";"7";"3.39";"0.24";"33.4";"2.38"
"Heritage Farm Museum";"May 15, 2026, 23:00:00";"7";"3.42";"0.23";"31.52";"2.06"
"Heritage Farm Museum";"May 15, 2026, 22:00:00";"7";"4.2";"0.26";"32.06";"1.71"
"Heritage Farm Museum";"May 15, 2026, 21:00:00";"7";"2.03";"0.25";"33.17";"1.26"
"Heritage Farm Museum";"May 15, 2026, 20:00:00";"7";"0";"0.22";"32.59";"1"
"Heritage Farm Museum";"May 15, 2026, 19:00:00";"7";"0";"0.22";"25.33";"0.92"
"Heritage Farm Museum";"May 15, 2026, 18:00:00";"7";"0";"0.21";"23.86";"0.78"
"Heritage Farm Museum";"May 15, 2026, 17:00:00";"7";"0";"0.21";"23.24";"0.89"
"Heritage Farm Museum";"May 15, 2026, 16:00:00";"7";"0";"0.21";"25.43";"1.25"
"Heritage Farm Museum";"May 15, 2026, 15:00:00";"7";"0";"0.21";"28.8";"1.56"
"Heritage Farm Museum";"May 15, 2026, 14:00:00";"7";"0";"0.2";"31.29";"1.33"
"Heritage Farm Museum";"May 15, 2026, 13:00:00";"7";"0.05";"0.2";"34.05";"1.2"
"Heritage Farm Museum";"May 15, 2026, 12:00:00";"7";"0.12";"0.18";"33.15";"1.18"
"Heritage Farm Museum";"May 15, 2026, 11:00:00";"7";"0.26";"0.15";"30.45";"0.97"
"Heritage Farm Museum";"May 15, 2026, 10:00:00";"7";"0.33";"0.15";"30.64";"1.13"
"Heritage Farm Museum";"May 15, 2026, 09:00:00";"8";"0.04";"0.14";"30.86";"1.53"
"Heritage Farm Museum";"May 15, 2026, 08:00:00";"9";"0.79";"0.13";"29.97";"2.52"
"Heritage Farm Museum";"May 15, 2026, 07:00:00";"12";"0.64";"0.12";"33.89";"2.43"
"Heritage Farm Museum";"May 15, 2026, 06:00:00";"15";"0.58";"0.11";"29.41";"2.4"
"Heritage Farm Museum";"May 15, 2026, 05:00:00";"18";"0.59";"0.11";"29.74";"2.37"
"Heritage Farm Museum";"May 15, 2026, 04:00:00";"20";"1.05";"0.11";"29.72";"1.78"
"Heritage Farm Museum";"May 15, 2026, 03:00:00";"22";"0.89";"0.11";"29.59";"1.15"
"Heritage Farm Museum";"May 15, 2026, 02:00:00";"23";"2.19";"0.11";"28.12";"1.44"
"Heritage Farm Museum";"May 15, 2026, 01:00:00";"23";"1.83";"0.1";"27.11";"2.05"
"Heritage Farm Museum";"May 15, 2026, 00:00:00";"24";"1.85";"0.11";"26.96";"2.95"
"Heritage Farm Museum";"May 14, 2026, 23:00:00";"25";"1.39";"0.12";"26.56";"3.8"
"Heritage Farm Museum";"May 14, 2026, 22:00:00";"25";"1.36";"0.13";"26.54";"1.33"
"Heritage Farm Museum";"May 14, 2026, 21:00:00";"26";"2.14";"0.13";"26.52";"0.74"
"Heritage Farm Museum";"May 14, 2026, 20:00:00";"26";"1.37";"0.14";"27.05";"0.68"
"Heritage Farm Museum";"May 14, 2026, 19:00:00";"26";"1.5";"0.14";"27.56";"0.64"
"Heritage Farm Museum";"May 14, 2026, 18:00:00";"27";"0.51";"0.15";"28.65";"0.59"
"Heritage Farm Museum";"May 14, 2026, 17:00:00";"27";"0.8";"0.15";"30.23";"0.69"
"Heritage Farm Museum";"May 14, 2026, 16:00:00";"27";"0";"0.17";"33.76";"1.05"
"Heritage Farm Museum";"May 14, 2026, 15:00:00";"28";"0.14";"0.17";"33.94";"0.9"
"Heritage Farm Museum";"May 14, 2026, 14:00:00";"28";"0.28";"0.15";"33.07";"0.97"
"Heritage Farm Museum";"May 14, 2026, 13:00:00";"28";"0.02";"0.15";"35.47";"1.65"
"Heritage Farm Museum";"May 14, 2026, 12:00:00";"28";"0";"0.16";"39.03";"2"
"Heritage Farm Museum";"May 14, 2026, 11:00:00";"29";"0";"0.16";"42.16";"2.32"
"Heritage Farm Museum";"May 14, 2026, 10:00:00";"29";"0";"0.14";"44.19";"3.94"
"Heritage Farm Museum";"May 14, 2026, 09:00:00";"29";"0.33";"0.14";"46.15";"9.02"
"Heritage Farm Museum";"May 14, 2026, 08:00:00";"28";"1.14";"0.15";"44.87";"21.46"
"Heritage Farm Museum";"May 14, 2026, 07:00:00";"24";"1.01";"0.13";"34.28";"20.3"
"Heritage Farm Museum";"May 14, 2026, 06:00:00";"21";"1.18";"0.12";"34.85";"18.05"
"Heritage Farm Museum";"May 14, 2026, 05:00:00";"17";"1.34";"0.12";"35.22";"13.88"
"Heritage Farm Museum";"May 14, 2026, 04:00:00";"15";"2.79";"0.13";"29.55";"11.41"
"Heritage Farm Museum";"May 14, 2026, 03:00:00";"13";"2.08";"0.14";"28.58";"0"
"Heritage Farm Museum";"May 14, 2026, 02:00:00";"13";"1.8";"0.15";"30.95";"0"
"Heritage Farm Museum";"May 14, 2026, 01:00:00";"13";"10.79";"0.21";"26.55";"0"
"Heritage Farm Museum";"May 14, 2026, 00:00:00";"12";"10.21";"0.22";"31.23";"8.35"
"Heritage Farm Museum";"May 13, 2026, 23:00:00";"11";"6.59";"0.19";"32.47";"4.09"
"Heritage Farm Museum";"May 13, 2026, 22:00:00";"11";"5.12";"0.18";"36.27";"3.68"
"Heritage Farm Museum";"May 13, 2026, 21:00:00";"11";"5.08";"0.2";"39.26";"2.1"
"Heritage Farm Museum";"May 13, 2026, 20:00:00";"11";"2.63";"0.25";"42.16";"2.45"
"Heritage Farm Museum";"May 13, 2026, 19:00:00";"10";"3.96";"0.26";"40.92";"2.62"
"Heritage Farm Museum";"May 13, 2026, 18:00:00";"10";"3.74";"0.26";"38.51";"2.36"
"Heritage Farm Museum";"May 13, 2026, 17:00:00";"10";"5.82";"0.27";"39.8";"2.48"
"Heritage Farm Museum";"May 13, 2026, 16:00:00";"10";"2.66";"0.23";"32.46";"2.63"
"Heritage Farm Museum";"May 13, 2026, 15:00:00";"10";"0";"0.22";"25.97";"2.58"
"Heritage Farm Museum";"May 13, 2026, 14:00:00";"10";"0";"0.23";"25.31";"2.47"
"Heritage Farm Museum";"May 13, 2026, 13:00:00";"10";"0";"0.23";"26.41";"2.64"
"Heritage Farm Museum";"May 13, 2026, 12:00:00";"10";"0.13";"0.23";"30.9";"3.17"
"Heritage Farm Museum";"May 13, 2026, 11:00:00";"10";"1.15";"0.23";"33.31";"3.79"
"Heritage Farm Museum";"May 13, 2026, 10:00:00";"9";"3.85";"0.23";"30.35";"3.78"
"Heritage Farm Museum";"May 13, 2026, 09:00:00";"9";"4.58";"0.21";"27.83";"3.01"
"Heritage Farm Museum";"May 13, 2026, 08:00:00";"9";"6.04";"0.18";"26.31";"2.82"
"Heritage Farm Museum";"May 13, 2026, 07:00:00";"9";"5.03";"0.16";"24.88";"2.53"
"Heritage Farm Museum";"May 13, 2026, 06:00:00";"9";"3.49";"0.15";"24.74";"2.22"
"Heritage Farm Museum";"May 13, 2026, 05:00:00";"9";"2.18";"0.15";"25.59";"2.33"
"Heritage Farm Museum";"May 13, 2026, 04:00:00";"9";"1.87";"0.16";"26.26";"1.95"
"Heritage Farm Museum";"May 13, 2026, 03:00:00";"9";"1.62";"0.16";"27.02";"1.77"
"Heritage Farm Museum";"May 13, 2026, 02:00:00";"10";"2.07";"0.18";"28.25";"1.67"
"Heritage Farm Museum";"May 13, 2026, 01:00:00";"10";"2.82";"0.18";"29.88";"1.62"
"Heritage Farm Museum";"May 13, 2026, 00:00:00";"10";"2.83";"0.18";"30.6";"1.47"
"Heritage Farm Museum";"May 12, 2026, 23:00:00";"10";"2.95";"0.19";"30.71";"1.59"
"Heritage Farm Museum";"May 12, 2026, 22:00:00";"10";"3.2";"0.22";"31.48";"1.74"
"Heritage Farm Museum";"May 12, 2026, 21:00:00";"10";"2.43";"0.24";"31.84";"2.24"
"Heritage Farm Museum";"May 12, 2026, 20:00:00";"9";"0.33";"0.22";"28.47";"1.85"
"Heritage Farm Museum";"May 12, 2026, 19:00:00";"9";"0";"0.22";"24.55";"1.88"
"Heritage Farm Museum";"May 12, 2026, 18:00:00";"9";"0";"0.21";"22.31";"1.66"
"Heritage Farm Museum";"May 12, 2026, 17:00:00";"9";"0";"0.21";"22.6";"1.62"
"Heritage Farm Museum";"May 12, 2026, 16:00:00";"9";"0";"0.21";"24.59";"1.8"
"Heritage Farm Museum";"May 12, 2026, 15:00:00";"9";"0";"0.21";"25.72";"1.96"
"Heritage Farm Museum";"May 12, 2026, 14:00:00";"9";"0";"0.2";"29.42";"2.68"
"Heritage Farm Museum";"May 12, 2026, 13:00:00";"9";"0";"0.2";"32.64";"2.88"
"Heritage Farm Museum";"May 12, 2026, 12:00:00";"9";"0";"0.16";"30.24";"2.18"
"Heritage Farm Museum";"May 12, 2026, 11:00:00";"9";"0.08";"0.14";"30.12";"2.02"
"Heritage Farm Museum";"May 12, 2026, 10:00:00";"9";"0.09";"0.13";"30.89";"1.94"
"Heritage Farm Museum";"May 12, 2026, 09:00:00";"9";"0.87";"0.12";"29.81";"1.55"
"Heritage Farm Museum";"May 12, 2026, 08:00:00";"9";"0.9";"0.1";"26.66";"1.89"
"Heritage Farm Museum";"May 12, 2026, 07:00:00";"9";"0.11";"0.09";"25.74";"2.43"
"Heritage Farm Museum";"May 12, 2026, 06:00:00";"8";"0.9";"0.09";"23.54";"1.88"
"Heritage Farm Museum";"May 12, 2026, 05:00:00";"8";"1.71";"0.1";"16.21";"3.77"
"Heritage Farm Museum";"May 12, 2026, 04:00:00";"8";"1.67";"0.11";"19.14";"4.29"
"Heritage Farm Museum";"May 12, 2026, 03:00:00";"7";"0.98";"0.11";"25.09";"3.63"
"Heritage Farm Museum";"May 12, 2026, 02:00:00";"7";"1.8";"0.12";"27.83";"2.5"
"Heritage Farm Museum";"May 12, 2026, 01:00:00";"8";"3.34";"0.14";"28.45";"1.51"
"Heritage Farm Museum";"May 12, 2026, 00:00:00";"11";"6.58";"0.16";"28.23";"1.54"
"Heritage Farm Museum";"May 11, 2026, 23:00:00";"14";"8.17";"0.17";"27.72";"1.23"
"Heritage Farm Museum";"May 11, 2026, 22:00:00";"16";"8.37";"0.19";"27.1";"1.25"
"Heritage Farm Museum";"May 11, 2026, 21:00:00";"19";"3.06";"0.16";"25.6";"1.21"
"Heritage Farm Museum";"May 11, 2026, 20:00:00";"20";"0.16";"0.15";"27.88";"0.99"
"Heritage Farm Museum";"May 11, 2026, 19:00:00";"22";"0";"0.15";"27.42";"1.15"
"Heritage Farm Museum";"May 11, 2026, 18:00:00";"22";"0";"0.14";"27.16";"1.37"
"Heritage Farm Museum";"May 11, 2026, 17:00:00";"23";"0";"0.16";"29.9";"2.23"
"Heritage Farm Museum";"May 11, 2026, 16:00:00";"24";"0.02";"0.18";"31.34";"2.67"
"Heritage Farm Museum";"May 11, 2026, 15:00:00";"24";"0.2";"0.15";"30.17";"2.32"
"Heritage Farm Museum";"May 11, 2026, 14:00:00";"24";"0.59";"0.16";"32.79";"1.87"
"Heritage Farm Museum";"May 11, 2026, 13:00:00";"24";"1.7";"0.16";"33.35";"1.95"
"Heritage Farm Museum";"May 11, 2026, 12:00:00";"24";"1.78";"0.42";"37.95";"1.67"
"Heritage Farm Museum";"May 11, 2026, 11:00:00";"24";"2.71";"0.16";"37.44";"1.41"
"Heritage Farm Museum";"May 11, 2026, 10:00:00";"25";"0.08";"0.16";"34.79";"1.73"
"Heritage Farm Museum";"May 11, 2026, 09:00:00";"26";"0.04";"0.13";"31.53";"1.07"
"Heritage Farm Museum";"May 11, 2026, 08:00:00";"27";"0.25";"0.11";"29.81";"1.02"
"Heritage Farm Museum";"May 11, 2026, 07:00:00";"28";"0.05";"0.1";"31.52";"0.96"
"Heritage Farm Museum";"May 11, 2026, 06:00:00";"30";"0.03";"0.08";"32.05";"1.1"
"Heritage Farm Museum";"May 11, 2026, 05:00:00";"33";"0";"0.09";"31.52";"1.27"
"Heritage Farm Museum";"May 11, 2026, 04:00:00";"36";"0";"0.1";"38.36";"1.78"
"Heritage Farm Museum";"May 11, 2026, 03:00:00";"38";"0";"0.12";"46.56";"2.46"
"Heritage Farm Museum";"May 11, 2026, 02:00:00";"40";"0";"0.18";"62.13";"8.55"
"Heritage Farm Museum";"May 11, 2026, 01:00:00";"41";"0";"0.21";"63.22";"18.76"
"Heritage Farm Museum";"May 11, 2026, 00:00:00";"39";"0.01";"0.23";"55.82";"16.19"
"Heritage Farm Museum";"May 10, 2026, 23:00:00";"37";"0";"0.24";"58.02";"16.38"
"Heritage Farm Museum";"May 10, 2026, 22:00:00";"35";"0";"0.24";"57.39";"15.77"
"Heritage Farm Museum";"May 10, 2026, 21:00:00";"33";"0.32";"0.26";"70.27";"9.65"
"Heritage Farm Museum";"May 10, 2026, 20:00:00";"32";"0.74";"0.26";"70.86";"8.66"
"Heritage Farm Museum";"May 10, 2026, 19:00:00";"31";"0.52";"0.27";"71.77";"5.49"
"Heritage Farm Museum";"May 10, 2026, 18:00:00";"31";"1.62";"0.3";"69.54";"6.52"
"Heritage Farm Museum";"May 10, 2026, 17:00:00";"30";"1.93";"0.27";"55.95";"6.6"
"Heritage Farm Museum";"May 10, 2026, 16:00:00";"29";"0.42";"0.23";"35.89";"2.93"
